737854.000000, 1.000000, 0.000000
737853.308566, 1.509478, 0.181957
737852.264862, 2.278522, 0.456616
737850.689420, 3.439372, 0.871209
737848.311336, 5.191639, 1.497025
737844.721702, 7.836622, 2.441676
737839.303301, 11.829103, 3.867596
737831.124511, 17.855522, 6.019967
737818.779200, 26.951935, 9.268865
737800.145126, 40.682002, 14.172872
737772.019472, 61.405477, 21.575051
737729.569155, 92.683080, 32.747765
737665.502171, 139.886733, 49.611096
737568.819197, 211.118615, 75.062188
737422.934777, 318.593703, 113.471519
737202.853993, 480.715909, 171.430098
736870.939619, 725.187440, 258.872941
736370.588293, 1093.646739, 390.764968
735616.833234, 1648.543552, 589.623215
734482.494018, 2483.233115, 889.272868
732778.021182, 3736.577232, 1340.401586
730222.745188, 5613.569918, 2018.684894
726405.159102, 8413.364938, 3036.475959
720730.924874, 12564.887986, 4559.187140
712361.128076, 18666.579613, 6827.292311
700152.816939, 27518.356507, 10183.826554
682632.892095, 40117.681856, 15104.426050
658066.409282, 57567.481508, 22221.109210
624710.044182, 80823.341976, 32321.613842
581329.542476, 110229.293574, 46296.163950
527934.823600, 144916.483035, 65003.693365
466424.890827, 182373.150897, 89056.958276
400623.774652, 218645.653913, 118585.571435
335398.564806, 249365.814767, 153090.620427
275221.476532, 271146.594034, 191486.929435
223018.282553, 282510.989393, 232325.728053
179859.692385, 283907.627069, 274087.680546
145372.167765, 277059.751158, 315423.081077
118395.391660, 264179.288138, 355280.320203
97526.104424, 247396.670237, 392932.225340
81436.812445, 228478.109680, 427940.077875
69009.134613, 208753.070484, 460092.794903
59358.183237, 189152.167025, 489344.649738
51807.669240, 170285.179685, 515762.151075
45849.980082, 152522.104882, 539482.915036
41107.033970, 136062.298216, 560685.667815
37297.541453, 120988.170713, 579569.287834
34211.574006, 107304.751405, 596338.674589
31691.550377, 94967.885672, 611195.563951
29618.298914, 83903.874126, 624332.826960
27900.933633, 74022.889155, 635931.177211
26469.521137, 65227.973276, 646157.505587
25269.759174, 57420.943913, 655164.296913
24259.100472, 50506.151762, 663089.747766
23403.913008, 44392.764966, 670058.322025
22677.384595, 38996.051943, 676181.563461
22057.965643, 34237.990076, 681559.044281
21528.202620, 30047.429186, 686279.368193
21073.856867, 26359.968431, 690421.174701
20683.233769, 23117.655059, 694054.111172
20346.667861, 20268.579860, 697239.752279
20056.124339, 17766.420135, 700032.455526
19804.888303, 15569.963825, 702480.147873
19587.320609, 13642.636943, 704625.042448
19398.664472, 11952.048670, 706504.286858
19234.891226, 10469.562297, 708150.546477
19092.576441, 9169.896747, 709592.526812
18968.799746, 8030.760571, 710855.439683
18861.063290, 7032.518754, 711961.417956
18767.224947, 6157.891381, 712929.883672
18685.443358, 5391.682546, 713777.874096
18614.132354, 4720.537655, 714520.329991
18551.923035, 4132.726788, 715170.350176
18497.632049, 3617.951952, 715739.415999
18450.234932, 3167.175996, 716237.589072
18408.843619, 2772.471052, 716673.685329
18372.687410, 2426.884519, 717055.428071
18341.096737, 2124.320681, 717389.582582
18313.489422, 1859.436374, 717682.074204
18289.358844, 1627.548999, 717938.092157
18268.263829, 1424.555575, 718162.180596
18249.819960, 1246.861534, 718358.318506
18233.692103, 1091.318156, 718529.989742
18219.587940, 955.167573, 718680.244487
18207.252398, 835.994498, 718811.753104
18196.462821, 731.683850, 718926.853329
18187.024789, 640.383595, 719027.591616
18178.768490, 560.472129, 719115.759381
18171.545565, 490.529695, 719192.924740
18165.226374, 429.313318, 719260.460308
18159.697612, 375.734845, 719319.567543
18154.860232, 328.841698, 719371.298070
18150.627640, 287.800009, 719416.572351
18146.924120, 251.879847, 719456.196033
18143.683458, 220.442282, 719490.874260
18140.847747, 192.928051, 719521.224202
18138.366338, 168.847635, 719547.786026
18136.194928, 147.772570, 719571.032502
18134.294762, 129.327832, 719591.377406
18132.631936, 113.185185, 719609.182879
18131.176789, 99.057340, 719624.765871
18129.903371, 86.692852, 719638.403777
18128.788976, 75.871650, 719650.339374
18127.813740, 66.401122, 719660.785138
18126.960279, 58.112695, 719669.927027
18126.213383, 50.858828, 719677.927789
18125.559743, 44.510395, 719684.929862
18124.987713, 38.954384, 719691.057902
18124.487102, 34.091889, 719696.421009
18124.048991, 29.836346, 719701.114663
18123.665576, 26.111996, 719705.222428
18123.330029, 22.852535, 719708.817437
18123.036371, 19.999935, 719711.963694
18122.779373, 17.503412, 719714.717215
18122.554459, 15.318518, 719717.127023
18122.357622, 13.406356, 719719.236022
18122.185358, 11.732880, 719721.081762
18122.034598, 10.268299, 719722.697103
18121.902658, 8.986536, 719724.110806
18121.787189, 7.864771, 719725.348040
18121.686134, 6.883033, 719726.430834
18121.597694, 6.023841, 719727.378465
18121.520294, 5.271901, 719728.207806
18121.452555, 4.613822, 719728.933622
18121.393273, 4.037890, 719729.568837
18121.341391, 3.533850, 719730.124759
18121.295985, 3.092728, 719730.611287
18121.256248, 2.706670, 719731.037082
18121.221470, 2.368803, 719731.409727
18121.191034, 2.073110, 719731.735855
18121.164398, 1.814329, 719732.021274
18121.141086, 1.587850, 719732.271064
18121.120684, 1.389642, 719732.489673
18121.102829, 1.216176, 719732.680994
18121.087203, 1.064364, 719732.848433
18121.073527, 0.931502, 719732.994971
18121.061559, 0.815224, 719733.123217
18121.051084, 0.713462, 719733.235454
18121.041918, 0.624402, 719733.333681
18121.033895, 0.546459, 719733.419646
18121.026874, 0.478246, 719733.494881
18121.020729, 0.418547, 719733.560724
18121.015351, 0.366301, 719733.618348
18121.010645, 0.320577, 719733.668779
18121.006526, 0.280560, 719733.712915
18121.002921, 0.245538, 719733.751541
18120.999766, 0.214888, 719733.785346
18120.997005, 0.188064, 719733.814931
18120.994589, 0.164588, 719733.840823
18120.992474, 0.144043, 719733.863483
18120.990623, 0.126063, 719733.883314
18120.989004, 0.110326, 719733.900670
18120.987586, 0.096555, 719733.915859
18120.986345, 0.084502, 719733.929153
18120.985260, 0.073954, 719733.940787
18120.984310, 0.064722, 719733.950968
18120.983478, 0.056643, 719733.959879
18120.982750, 0.049572, 719733.967677
18120.982113, 0.043384, 719733.974502
18120.981556, 0.037969, 719733.980475
